[3J[H[2Jtime, , AT_21, WU_422, WV_423, depth, latitude, longitude
, , AIR TEMPERATURE (C), WIND U (M/S)             , WIND V (M/S)             , , , 
time, , C, m s-1, m s-1, m, degree_north, degree_west
2018-09-05 00:00:00, , 6.3458557, 3.933899, 1.5268784, 10.0, 71.21263, 164.4151
2018-09-06 00:00:00, , 3.3460999, 0.41862512, -2.9343333, 10.0, 71.21263, 164.4151
2018-09-07 00:00:00, , 4.429962, -2.1236498, 6.79902, 10.0, 71.21263, 164.4151
2018-09-08 00:00:00, , 7.032135, 2.3859487, 7.003862, 10.0, 71.21263, 164.4151
2018-09-09 00:00:00, , 6.809204, 3.5408783, 2.5760224, 10.0, 71.21263, 164.4151
2018-09-10 00:00:00, , 6.4453125, -2.4780438, 2.0826378, 10.0, 71.21263, 164.4151
2018-09-11 00:00:00, , 6.933441, -2.9765797, 6.2515, 10.0, 71.21263, 164.4151
2018-09-12 00:00:00, , 6.781891, 5.4478297, 4.617363, 10.0, 71.21263, 164.4151
2018-09-13 00:00:00, , 6.7796936, 2.2167952, 1.7013077, 10.0, 71.21263, 164.4151
2018-09-14 00:00:00, , 6.4813232, -6.1397457, 1.3029014, 10.0, 71.21263, 164.4151
2018-09-15 00:00:00, , 5.698883, -9.178953, -0.462471, 10.0, 71.21263, 164.4151
2018-09-16 00:00:00, , 4.3361816, -10.913052, -1.0617135, 10.0, 71.21263, 164.4151
2018-09-17 00:00:00, , 4.7021484, -9.873114, 2.176975, 10.0, 71.21263, 164.4151
2018-09-18 00:00:00, , 5.885742, -5.585718, 2.6295528, 10.0, 71.21263, 164.4151
2018-09-19 00:00:00, , 5.884552, -3.5380304, 1.2852993, 10.0, 71.21263, 164.4151
